"year","id","province","prov_en","region","period","PC1","PC2","PC3","PC4","DEDI_raw","DEDI"
2013,340000,"<U+5B89><U+5FBD><U+7701>","Anhui","Central","Early(2013-2017)",-1.43449920915284,-1.64982807992576,-2.34916007155221,-0.18440599235302,-1.4798609629936,38.1719397802699
2014,340000,"<U+5B89><U+5FBD><U+7701>","Anhui","Central","Early(2013-2017)",-0.669544130406971,-0.855311084158253,-1.96215558752323,0.183078412038993,-0.771626749840565,43.2229534780083
2015,340000,"<U+5B89><U+5FBD><U+7701>","Anhui","Central","Early(2013-2017)",0.212601051022956,-0.33729333195818,-1.48803262648539,0.591771729865985,-0.0142626967485115,48.624353375525
2016,340000,"<U+5B89><U+5FBD><U+7701>","Anhui","Central","Early(2013-2017)",0.733794149689531,-0.16095388542002,-1.40183976066889,0.861802422082682,0.396143374886779,51.5513041652024
2017,340000,"<U+5B89><U+5FBD><U+7701>","Anhui","Central","Early(2013-2017)",1.24560325228953,-0.139581887509939,-0.884168258704292,0.791123071543776,0.797403453806894,54.4130271903553
2018,340000,"<U+5B89><U+5FBD><U+7701>","Anhui","Central","Late(2018-2022)",1.84370243335063,0.0247706474045655,-0.450351696907697,0.23937251317811,1.24220651657112,57.5852918467263
2019,340000,"<U+5B89><U+5FBD><U+7701>","Anhui","Central","Late(2018-2022)",2.39334361912135,0.425835187126633,-0.0538074117084342,0.180585165409774,1.71671439383766,60.9694065128165
2020,340000,"<U+5B89><U+5FBD><U+7701>","Anhui","Central","Late(2018-2022)",2.80262146331085,0.490840184816566,0.263754765255984,-0.129767922895939,2.01995177240905,63.1320472387023
2021,340000,"<U+5B89><U+5FBD><U+7701>","Anhui","Central","Late(2018-2022)",2.70718467957798,0.545639771450943,0.464969244283617,0.11556329032341,1.99744023170601,62.9714985129608
2022,340000,"<U+5B89><U+5FBD><U+7701>","Anhui","Central","Late(2018-2022)",2.92682667399371,0.446449067403771,1.14348990335231,-0.4431972888338,2.1649898640255,64.1664358263236
2013,110000,"<U+5317><U+4EAC><U+5E02>","Beijing","East","Early(2013-2017)",1.65464871952707,3.22117523253893,-2.74564757724213,-0.431036786592684,1.33823129059022,58.2701252533664
2014,110000,"<U+5317><U+4EAC><U+5E02>","Beijing","East","Early(2013-2017)",2.17924364540009,3.86327672336217,-2.45242784068999,-0.118429659234924,1.84529526268823,61.8864248067223
2015,110000,"<U+5317><U+4EAC><U+5E02>","Beijing","East","Early(2013-2017)",2.85327700600184,4.58968794114927,-2.2451608595294,0.291902454046767,2.4656790277392,66.3109030893747
2016,110000,"<U+5317><U+4EAC><U+5E02>","Beijing","East","Early(2013-2017)",3.1428101527091,4.8441169125256,-2.18618452127091,0.533718387633298,2.72442118566482,68.1562109827146
2017,110000,"<U+5317><U+4EAC><U+5E02>","Beijing","East","Early(2013-2017)",3.59464657050721,5.20767259547999,-1.89058751830642,0.558630298436672,3.12123404766744,70.9862171645551
2018,110000,"<U+5317><U+4EAC><U+5E02>","Beijing","East","Late(2018-2022)",3.81246180130555,5.66032656224044,-1.59245313435831,0.384626753346266,3.35885748363159,72.6809096937611
2019,110000,"<U+5317><U+4EAC><U+5E02>","Beijing","East","Late(2018-2022)",4.13631336616491,5.93393504267048,-1.00144965795376,-0.0110435823356023,3.65680050893068,74.8057919346677
2020,110000,"<U+5317><U+4EAC><U+5E02>","Beijing","East","Late(2018-2022)",4.32114796503253,6.24400411071001,-0.778735458098528,-0.0149680138849911,3.85295671452938,76.204746776124
2021,110000,"<U+5317><U+4EAC><U+5E02>","Beijing","East","Late(2018-2022)",4.32966945180445,6.61866135133135,-0.719004391347669,0.228913791987612,3.93716312873561,76.8052935213871
2022,110000,"<U+5317><U+4EAC><U+5E02>","Beijing","East","Late(2018-2022)",4.53275107522887,6.81467065934272,-0.411230999413557,0.023381343629292,4.12424489207024,78.1395308847494
2013,350000,"<U+798F><U+5EFA><U+7701>","Fujian","East","Early(2013-2017)",-0.313131036042331,-1.43121149078762,-2.59924520676873,-0.709237231516952,-0.731958134238289,43.5058637315039
2014,350000,"<U+798F><U+5EFA><U+7701>","Fujian","East","Early(2013-2017)",-0.0069355733475638,-1.00433287376445,-2.01769358972364,-0.545188220955053,-0.389133639772035,45.9508334679421
2015,350000,"<U+798F><U+5EFA><U+7701>","Fujian","East","Early(2013-2017)",0.803140922436568,-0.439224853322522,-1.55678207375494,-0.55619230750635,0.298829520767629,50.8572772444367
2016,350000,"<U+798F><U+5EFA><U+7701>","Fujian","East","Early(2013-2017)",1.25333965423077,-0.0862815112790368,-1.2952315021499,-0.521867012649238,0.690147572201,53.6480953117575
2017,350000,"<U+798F><U+5EFA><U+7701>","Fujian","East","Early(2013-2017)",1.78833241582416,0.100102163975509,-0.901728694989608,-0.826586388662709,1.1062027622133,56.6153347146826
2018,350000,"<U+798F><U+5EFA><U+7701>","Fujian","East","Late(2018-2022)",2.18920180319078,0.14988327977968,-0.577498806247468,-1.26565315599732,1.39405954165306,58.6682834552751
2019,350000,"<U+798F><U+5EFA><U+7701>","Fujian","East","Late(2018-2022)",2.39160931647353,0.279101224430319,0.0399399493116326,-1.5697684938081,1.59453700800348,60.0980568407145
2020,350000,"<U+798F><U+5EFA><U+7701>","Fujian","East","Late(2018-2022)",2.49385264654835,0.589355626359682,0.508734963900413,-1.55546126586292,1.7590392630171,61.2712607441005
2021,350000,"<U+798F><U+5EFA><U+7701>","Fujian","East","Late(2018-2022)",2.44703903013169,0.845308135995172,0.598841875072106,-1.29180212455019,1.7911478414738,61.5002540158004
2022,350000,"<U+798F><U+5EFA><U+7701>","Fujian","East","Late(2018-2022)",2.61483570474713,0.721382928703578,1.08053043363958,-1.69187431474947,1.90982766215957,62.3466596098767
2013,620000,"<U+7518><U+8083><U+7701>","Gansu","West","Early(2013-2017)",-4.71768311672194,-2.08965657284835,-1.03454572220891,-0.136084261256541,-3.67357223361557,22.5267401118371
2014,620000,"<U+7518><U+8083><U+7701>","Gansu","West","Early(2013-2017)",-4.32300247041533,-1.66477264408784,-1.01122829665746,0.0794433516371914,-3.32145305991006,25.0379980214271
2015,620000,"<U+7518><U+8083><U+7701>","Gansu","West","Early(2013-2017)",-3.77143993648989,-0.973145612808865,-0.61104256619524,0.195530532624331,-2.78989837928379,28.8289614104834
2016,620000,"<U+7518><U+8083><U+7701>","Gansu","West","Early(2013-2017)",-3.55731262480632,-0.53818419589005,-0.410687585742178,0.587769065293692,-2.53225152190558,30.6664577946286
2017,620000,"<U+7518><U+8083><U+7701>","Gansu","West","Early(2013-2017)",-3.24721405495211,-0.676473622988976,0.0957569731275387,0.0416658561764427,-2.32450629828735,32.1480636682898
2018,620000,"<U+7518><U+8083><U+7701>","Gansu","West","Late(2018-2022)",-2.70713025626792,-0.406826418772232,0.45319353723375,-0.329627856624736,-1.89977054746716,35.1772114494468
2019,620000,"<U+7518><U+8083><U+7701>","Gansu","West","Late(2018-2022)",-2.29945194280585,-0.0311501677546216,0.980226798997812,-0.697362696800225,-1.53303717505983,37.7926954984318
2020,620000,"<U+7518><U+8083><U+7701>","Gansu","West","Late(2018-2022)",-2.01078510511863,0.137923573381592,1.23351528280344,-0.753994936437168,-1.2874079387242,39.5444841218208
2021,620000,"<U+7518><U+8083><U+7701>","Gansu","West","Late(2018-2022)",-2.32357894913307,0.330145969517725,1.25672770975191,-0.253570096073559,-1.43991789582582,38.4568073786537
2022,620000,"<U+7518><U+8083><U+7701>","Gansu","West","Late(2018-2022)",-2.27701113899268,0.1324358117047,1.73965577641745,-0.815055199208078,-1.42571666487352,38.5580882977799
2013,440000,"<U+5E7F><U+4E1C><U+7701>","Guangdong","East","Early(2013-2017)",4.8980672938785,-1.81645310572021,-1.37840837666068,1.51582638638266,3.04739191357384,70.4595868156532
2014,440000,"<U+5E7F><U+4E1C><U+7701>","Guangdong","East","Early(2013-2017)",5.63693387246592,-1.75631067016016,-1.22608985154292,2.03791229035641,3.61154374375844,74.4830278877536
2015,440000,"<U+5E7F><U+4E1C><U+7701>","Guangdong","East","Early(2013-2017)",6.21067372233,-1.28431040173283,-0.490907582112137,2.08697642864692,4.1531418833072,78.3456196274995
2016,440000,"<U+5E7F><U+4E1C><U+7701>","Guangdong","East","Early(2013-2017)",7.03892758534797,-1.25108959085574,-0.107992988439844,2.45415943539394,4.78756415048409,82.8702182731855
2017,440000,"<U+5E7F><U+4E1C><U+7701>","Guangdong","East","Early(2013-2017)",7.78633541620255,-1.26446220123852,0.434031845179375,2.1877704556425,5.33581007143142,86.7802209319187
2018,440000,"<U+5E7F><U+4E1C><U+7701>","Guangdong","East","Late(2018-2022)",8.72734710875192,-1.23916982789654,1.187900661912,2.03086941529118,6.05047280070897,91.8770817836042
2019,440000,"<U+5E7F><U+4E1C><U+7701>","Guangdong","East","Late(2018-2022)",9.24420281903641,-1.04066017569164,1.77785853735073,2.02741441401121,6.49358193253202,95.0372655940799
2020,440000,"<U+5E7F><U+4E1C><U+7701>","Guangdong","East","Late(2018-2022)",9.49454426162245,-0.744050347849266,2.17091793737149,1.80700461665521,6.73600139741531,96.7661626382831
2021,440000,"<U+5E7F><U+4E1C><U+7701>","Guangdong","East","Late(2018-2022)",9.64748649972819,-0.685443356952272,2.45449334216022,2.2096768447003,6.90253591070422,97.953860284269
2022,440000,"<U+5E7F><U+4E1C><U+7701>","Guangdong","East","Late(2018-2022)",9.9891026955949,-0.722403336429863,3.1912484541259,1.98055802636485,7.1894379541932,100
2013,450000,"<U+5E7F><U+897F><U+58EE><U+65CF><U+81EA><U+6CBB><U+533A>","Guangxi","West","Early(2013-2017)",-3.0875605455,-1.94318946853201,-0.995261026343154,-0.388969456613146,-2.54205941963336,30.5965094288917
2014,450000,"<U+5E7F><U+897F><U+58EE><U+65CF><U+81EA><U+6CBB><U+533A>","Guangxi","West","Early(2013-2017)",-2.49828257610345,-1.54581365980406,-0.475376853111028,-0.60088909222167,-2.03826037577184,34.1895240336551
2015,450000,"<U+5E7F><U+897F><U+58EE><U+65CF><U+81EA><U+6CBB><U+533A>","Guangxi","West","Early(2013-2017)",-2.02621359211643,-1.40531016482509,0.991295950258589,-1.95188828071216,-1.63224525543922,37.0851592574308
2016,450000,"<U+5E7F><U+897F><U+58EE><U+65CF><U+81EA><U+6CBB><U+533A>","Guangxi","West","Early(2013-2017)",-1.61616313429198,-0.97744889069435,1.32232743703907,-1.70216117298926,-1.23701403415832,39.9038854293509
2017,450000,"<U+5E7F><U+897F><U+58EE><U+65CF><U+81EA><U+6CBB><U+533A>","Guangxi","West","Early(2013-2017)",-1.24806207211265,-1.1373276373457,1.33383992847327,-1.56955656111922,-0.999219176190935,41.5998005130034
2018,450000,"<U+5E7F><U+897F><U+58EE><U+65CF><U+81EA><U+6CBB><U+533A>","Guangxi","West","Late(2018-2022)",-0.581088524436349,-0.789264213394291,1.54493751619249,-1.4378807418024,-0.45854721585181,45.4557868900212
2019,450000,"<U+5E7F><U+897F><U+58EE><U+65CF><U+81EA><U+6CBB><U+533A>","Guangxi","West","Late(2018-2022)",0.149716425748808,-0.624185996136197,1.78355616333689,-1.53180357095618,0.0867237663791689,49.3445727592698
2020,450000,"<U+5E7F><U+897F><U+58EE><U+65CF><U+81EA><U+6CBB><U+533A>","Guangxi","West","Late(2018-2022)",0.785574459052569,-0.269424822067851,1.9181814785592,-1.30435103482845,0.605466883290968,53.0441661147843
