"DV","Term","SS","df","F","p"
"PC1","region",1422.44,3,62.953,1.21e-31
"PC1","period",307.15,1,40.781,6.42e-10
"PC1","region:period",7.45,3,0.33,0.804
"PC1","Residuals",2274.59,302,NA,NA
"PC2","region",123.83,3,18.44,5.19e-11
"PC2","period",95.36,1,42.6,2.83e-10
"PC2","region:period",0.87,3,0.129,0.943
"PC2","Residuals",676.03,302,NA,NA
"PC3","region",88.99,3,40.135,7.41e-22
"PC3","period",253.97,1,343.615,9.38e-52
"PC3","region:period",2.43,3,1.095,0.351
"PC3","Residuals",223.21,302,NA,NA
"PC4","region",20.11,3,6.472,0.000294
"PC4","period",24.94,1,24.08,1.51e-06
"PC4","region:period",0.77,3,0.248,0.863
"PC4","Residuals",312.82,302,NA,NA
